tiempo,EMG,Integrated EMG,,,,
0,0.0779495,0.000779495,,,N,30286
0.000999967,0.0774748,0.00155424,,,t,30.285
0.001999934,0.0831743,0.00238599,,,t/N,0.000999967
0.002999901,0.085601,0.003242,,,,
0.003999868,0.0895819,0.00413782,,,,
0.004999835,0.094047,0.00507829,,,,
0.005999802,0.0894507,0.00597279,,,,
0.006999769,0.0787605,0.0067604,,,,
0.007999736,0.0680299,0.0074407,,,,
0.008999703,0.0624483,0.00806518,,,,
0.00999967,0.0665725,0.00873091,,,,
0.010999637,0.0754034,0.00948494,,,,
0.011999604,0.0800138,0.0102851,,,,
0.012999571,0.0778665,0.0110637,,,,
0.013999538,0.0735084,0.0117988,,,,
0.014999505,0.0694382,0.0124932,,,,
0.015999472,0.0664781,0.013158,,,,
0.016999439,0.0696619,0.0138546,,,,
0.017999406,0.0783536,0.0146381,,,,
0.018999373,0.0854928,0.0154931,,,,
0.01999934,0.0890415,0.0163835,,,,
0.020999307,0.0908703,0.0172922,,,,
0.021999274,0.0902678,0.0181949,,,,
0.022999241,0.0851738,0.0190466,,,,
0.023999208,0.0812949,0.0198596,,,,
0.024999175,0.0873197,0.0207328,,,,
0.025999142,0.0931961,0.0216647,,,,
0.026999108,0.0858019,0.0225227,,,,
0.027999075,0.077363,0.0232964,,,,
0.028999042,0.0795057,0.0240914,,,,
0.029999009,0.0850633,0.0249421,,,,
0.030998976,0.09039,0.025846,,,,
0.031998943,0.0939676,0.0267856,,,,
0.03299891,0.0876415,0.027662,,,,
0.033998877,0.0725536,0.0283876,,,,
0.034998844,0.0592714,0.0289803,,,,
0.035998811,0.0513494,0.0294938,,,,
0.036998778,0.0450721,0.0299445,,,,
0.037998745,0.0490262,0.0304348,,,,
0.038998712,0.0799256,0.031234,,,,
0.039998679,0.115235,0.0323864,,,,
0.040998646,0.114621,0.0335326,,,,
0.041998613,0.0902679,0.0344353,,,,
0.04299858,0.0766408,0.0352017,,,,
0.043998547,0.0789754,0.0359914,,,,
0.044998514,0.0863991,0.0368554,,,,
0.045998481,0.0887804,0.0377432,,,,
0.046998448,0.0843872,0.0385871,,,,
0.047998415,0.0795496,0.0393826,,,,
0.048998382,0.0777386,0.04016,,,,
0.049998349,0.080475,0.0409647,,,,
0.050998316,0.0899347,0.0418641,,,,
0.051998283,0.0973928,0.042838,,,,
0.05299825,0.0942743,0.0437807,,,,
0.053998217,0.0898641,0.0446794,,,,
0.054998184,0.0889074,0.0455685,,,,
0.055998151,0.085341,0.0464219,,,,
0.056998118,0.0825242,0.0472471,,,,
0.057998085,0.0863935,0.048111,,,,
0.058998052,0.0934945,0.049046,,,,
0.059998019,0.0951598,0.0499976,,,,
0.060997986,0.0868457,0.050866,,,,
0.061997953,0.0762246,0.0516283,,,,
0.06299792,0.0764738,0.052393,,,,
0.063997887,0.086669,0.0532597,,,,
0.064997854,0.0924261,0.054184,,,,
0.065997821,0.0896131,0.0550801,,,,
0.066997788,0.0865855,0.055946,,,,
0.067997755,0.0865695,0.0568117,,,,
0.068997722,0.0871036,0.0576827,,,,
0.069997689,0.0885657,0.0585684,,,,
0.070997656,0.092024,0.0594886,,,,
0.071997623,0.0943843,0.0604324,,,,
0.07299759,0.0915426,0.0613479,,,,
0.073997557,0.0848941,0.0621968,,,,
0.074997524,0.0799153,0.062996,,,,
0.075997491,0.0799718,0.0637957,,,,
0.076997458,0.0847002,0.0646427,,,,
0.077997425,0.0902067,0.0655447,,,,
0.078997392,0.0928164,0.0664729,,,,
0.079997359,0.0921427,0.0673943,,,,
0.080997325,0.0886452,0.0682808,,,,
0.081997292,0.0852336,0.0691331,,,,
0.082997259,0.0864087,0.0699972,,,,
0.083997226,0.091099,0.0709082,,,,
0.084997193,0.094281,0.071851,,,,
0.08599716,0.0941615,0.0727926,,,,
0.086997127,0.0899516,0.0736921,,,,
0.087997094,0.0818565,0.0745107,,,,
0.088997061,0.0769864,0.0752806,,,,
0.089997028,0.0800963,0.0760815,,,,
0.090996995,0.0859465,0.076941,,,,
0.091996962,0.0903781,0.0778448,,,,
0.092996929,0.0911011,0.0787558,,,,
0.093996896,0.0848621,0.0796044,,,,
0.094996863,0.0797282,0.0804017,,,,
0.09599683,0.0847867,0.0812496,,,,
0.096996797,0.0921958,0.0821715,,,,
0.097996764,0.0940897,0.0831124,,,,
0.098996731,0.0927519,0.0840399,,,,
0.099996698,0.0885431,0.0841459,,,,
0.100996665,0.0809434,0.0841806,,,,
0.101996632,0.0793643,0.0841425,,,,
0.102996599,0.0923568,0.08421,,,,
0.103996566,0.103635,0.0843505,,,,
0.104996533,0.0922968,0.084333,,,,
0.1059965,0.0751984,0.0841905,,,,
0.106996467,0.0791188,0.0841941,,,,
0.107996434,0.0912953,0.0844268,,,,
0.108996401,0.0948664,0.0847509,,,,
0.109996368,0.0961703,0.0850469,,,,
0.110996335,0.09088,0.0852017,,,,
0.111996302,0.0815245,0.0852168,,,,
0.112996269,0.086154,0.0852997,,,,
0.113996236,0.0940903,0.0855055,,,,
0.114996203,0.091018,0.0857213,,,,
0.11599617,0.0893705,0.0859502,,,,
0.116996137,0.0896382,0.08615,,,,
0.117996104,0.0831325,0.0861978,,,,
0.118996071,0.0780385,0.0861232,,,,
0.119996038,0.0786273,0.0860191,,,,
0.120996005,0.0794991,0.0859054,,,,
0.121995972,0.080541,0.0858081,,,,
0.122995939,0.0843613,0.0858,,,,
0.123995906,0.0887422,0.0858744,,,,
0.124995873,0.087647,0.0858777,,,,
0.12599584,0.0816963,0.0857627,,,,
0.126995807,0.0779231,0.0856839,,,,
0.127995774,0.0779151,0.0856894,,,,
0.128995741,0.079598,0.0856904,,,,
0.129995708,0.0811985,0.0856517,,,,
0.130995675,0.0808233,0.0855561,,,,
0.131995642,0.0829453,0.0854458,,,,
0.132995609,0.0880012,0.0854494,,,,
0.133995576,0.085822,0.0855821,,,,
0.134995542,0.0805041,0.0857944,,,,
0.135995509,0.0868771,0.0861497,,,,
0.136995476,0.100755,0.0867065,,,,
0.137995443,0.105357,0.0872699,,,,
0.13899541,0.0950998,0.0874216,,,,
0.139995377,0.0782065,0.0870513,,,,
0.140995344,0.0671613,0.0865767,,,,
0.141995311,0.0714657,0.0863887,,,,
0.142995278,0.0871359,0.0864936,,,,
0.143995245,0.0951634,0.0866555,,,,
0.144995212,0.0893474,0.086685,,,,
0.145995179,0.0848492,0.0866457,,,,
0.146995146,0.0836017,0.0866378,,,,
0.147995113,0.0782588,0.0866249,,,,
0.14899508,0.0794393,0.0866419,,,,
0.149995047,0.0905652,0.0867428,,,,
0.150995014,0.0938532,0.086782,,,,
0.151994981,0.0823866,0.086632,,,,
0.152994948,0.069536,0.0863846,,,,
0.153994915,0.0685035,0.086171,,,,
0.154994882,0.0787805,0.0860697,,,,
0.155994849,0.0892897,0.0861092,,,,
0.156994816,0.0934771,0.0862187,,,,
0.157994783,0.0925263,0.08628,,,,
0.15899475,0.0870673,0.0862158,,,,
0.159994717,0.0795378,0.0860596,,,,
0.160994684,0.0756427,0.0859475,,,,
0.161994651,0.0782283,0.0859676,,,,
0.162994618,0.0831103,0.0860339,,,,
0.163994585,0.0855089,0.0860223,,,,
0.164994552,0.085842,0.0859565,,,,
0.165994519,0.0824266,0.0858846,,,,
0.166994486,0.0780021,0.0857988,,,,
0.167994453,0.0805884,0.085739,,,,
0.16899442,0.0850578,0.0857185,,,,
0.169994387,0.0851601,0.0856845,,,,
